Comment,Designator,Footprint,LCSC Part #
1.0uF,C6 C8,0603,
1k,R14 R15 R17,R0603,
2K,R16 R18 R19 R20 R21,R0603,
4K7,R7 R8 R9,R0603,
10K,R1 R2 R13,R0603,
10nF,C7,0603,
10uF,C1 C2 C3 C11,C0805,
33,R3 R4 R5 R6 R10,R0603,
100nF,C4 C5 C9 C10 C12 C13,C0603,
330,R11 R12,R0603,
AO3400,Q1,SOT23,C79015
BAT760-7,D1 D2,SOD-323F,C124187
BUZZER,BZ1,SMT-8585-BUZZER,C94599
CH340C,U4,SO016,C84681
ESP32-C3-WROOM-02-N4,U1,MODULE_ESP32-C3-WROOM-02-H4,C2934560
GREEN,LD1 LD3 LD4,LED-0603,C965805
LD1117S33CTR,U3,SOT223,C6186
TACT4X3,SW1 SW2,SPST4X3,C720477
WS2813,RGB1,WS2813-5050,C160214
Red,LD2 LD5 LD6,LED-0603,C965798
MAX3232,U5,TSSOP-16,C428620
TF0475710001,J1,MOLEX_0475710001,C498185
USB1050170001,J3,MOLEX_1050170001,C404969